INSERT INTO `Book_Author` (`Author_ID`, `Book_ID`)
VALUES
 (1, 1),
 (2, 2),
 (3, 3),
 (4, 4),
 (5, 5),
 (6, 6),
 (7, 7),
 (8, 8),
 (9, 9),
 (10, 10),
 (11, 11),
 (12, 12),
 (13, 13),
 (14, 14),
 (15, 15),
 (16, 16),
 (17, 17),
 (18, 18),
 (19, 19),
 (20, 20),
 (21, 21),
 (22, 22),
 (23, 23),
 (24, 24),
 (25, 25),
 (26, 26),
 (27, 27),
 (28, 28),
 (29, 29),
 (30, 30),
 (31, 31),
 (32, 32),
 (33, 33),
 (34, 34),
 (35, 35),
 (36, 36),
 (37, 37),
 (38, 38),
 (39, 39),
 (40, 40),
 (41, 41),
 (42, 42),
 (43, 43),
 (44, 44),
 (45, 45),
 (46, 46),
 (47, 47),
 (48, 48),
 (49, 49),
 (50, 50),
 (51, 51),
 (52, 52),
 (53, 53),
 (54, 54),
 (55, 55),
 (56, 56),
 (57, 57),
 (58, 58),
 (59, 59),
 (60, 60),
 (61, 61),
 (62, 62),
 (63, 63),
 (64, 64),
 (65, 65),
 (66, 66),
 (67, 67),
 (68, 68),
 (69, 69),
 (1, 70),
 (2, 71),
 (3, 72),
 (4, 73),
 (5, 74),
 (6, 75),
 (7, 76),
 (8, 77),
 (9, 78),
 (10, 79),
 (11, 80),
 (12, 81),
 (13, 82),
 (14, 83),
 (15, 84),
 (16, 85),
 (17, 86),
 (18, 87),
 (19, 88),
 (20, 89),
 (21, 90),
 (22, 91),
 (23, 92),
 (24, 93),
 (25, 94),
 (26, 95),
 (27, 96),
 (28, 97),
 (29, 98),
 (30, 99),
 (31, 100),
 (32, 101),
 (33, 102),
 (34, 103),
 (35, 104),
 (36, 105),
 (37, 106),
 (38, 107),
 (39, 108),
 (40, 109),
 (41, 110),
 (42, 111),
 (43, 112),
 (44, 113),
 (45, 114),
 (46, 115),
 (47, 116),
 (48, 117),
 (49, 118),
 (50, 119),
 (51, 120),
 (52, 121),
 (53, 122),
 (54, 123),
 (55, 124),
 (56, 125),
 (57, 126),
 (58, 127),
 (59, 128),
 (60, 129),
 (61, 130),
 (62, 131),
 (63, 132),
 (64, 133),
 (65, 134),
 (66, 135),
 (67, 136),
 (68, 137),
 (69, 138),
 (1, 139),
 (2, 140),
 (3, 141),
 (4, 142),
 (5, 143),
 (6, 144),
 (7, 145),
 (8, 146),
 (9, 147),
 (10, 148),
 (11, 149),
 (12, 150),
 (1, 146),
 (2, 10),
 (3, 19),
 (4, 28),
 (5, 37),
 (6, 46),
 (7, 55),
 (8, 64),
 (9, 73),
 (10, 82),
 (11, 91),
 (12, 100),
 (13, 109),
 (14, 118),
 (15, 127),
 (16, 136),
 (17, 145),
 (18, 1),
 (19, 14),
 (20, 27),
 (21, 40),
 (22, 53),
 (23, 66),
 (24, 79),
 (25, 92),
 (26, 105),
 (27, 118),
 (28, 131),
 (29, 144);
